MSPAFileEventTypeId,Name,Description,SortOrder
1,Downloaded,Downloaded,1
2,Extracted,Extracted,2
3,DataVerified,DataVerified,3
4,Processed,Processed,4
5,ProcessedWithErrors,ProcessedWithErrors,5
6,DownloadedError,DownloadedError,6
7,ExtractionError,ExtractionError,7
8,DataError,DataError,8
9,SyncError,SyncError,9
