Name
Buy
Sell
SellShort
CoverShort
PairOff
MultiwayPairoff
AssetServicing
InterestReceipt
DividendReceipt
ReclaimReceipt
GrossAmountInterest
GrossAmountDividend
Revenue
Expense
MarkToMarket
SplitDividend
DependentEventReorganization
PartialReorganization
CapitalGainsDistribution
Paydown
ReturnOfCapital
Expire
Call
Sink
Mature
DefaultedBond
CreditActivity
Exempt
GlobalExercise
CashSweep
CashAccrual
LendCash
BorrowCash
SpotFX
ForwardFX
ForwardFXClose
BorrowSecurity
StockLoanReRate
StockLoanIncreaseOrReturn
EditStockLoanActivity
StockLoanContractAccrual
Deposit
Withdraw
Transfer
DeliverLong
DeliverShort
ReceiveLong
ReceiveShort
ForwardFXOwnerActions
CommissionSettlement
BulkSettlement
InvestmentIncomeSettement
ExerciseBuy
ExerciseSell
ExerciseShort
ExerciseCover
AssignBuy
AssignSell
AssignShort
AssignCover
SwapsWorkflow
SwapReset
SwapTransfer
CFDAccrual
CDXCreditEvent
Subscribe
Redeem
Commit
ExpireCommit
Contribute
ReverseContribute
Receive
AdjustCostCapitalize
AdjustCostRealize
PAndSAdjustment
AccountingRelated
AdjustQuantity
ReceiveDistributedInvestment
BuyDistribution
SellDistribution
SellShortDistribution
CoverShortDistribution
FinancingAndHedgingDistributions
AssetServicingDistributions
ManualJEOveride
