SecurityIssuerId,SecurityIssuerCode,SecurityIssuerDesc,IssuerCountryId,DomicileCountryId,OverrideRiskCountryId,RiskCountryId,CountryId,OverrideRiskCurrencyId,RiskCurrencyId,OverrideGICsSubIndustryId,GICSSubIndustryId,BbergCompanyId,ActiveYN,PrimarySecurityId,OverrideNotes,LastModifiedBy,LastModifiedOn,RiskApprovedBy,RiskApprovedOn,OpsApprovedOn,OpsApprovedBy,RestrictedYN,RestrictionChangedBy,RestrictionChangedOn,RestrictionChangeNotes,CompanyDescFull
223,ILU.AX,ILU.AX,3,3,NULL,3,NULL,NULL,3,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-02-18 09:55:31.890,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,ILU AU,Iluka Resources Ltd,3,3,NULL,3,3,NULL,3,NULL,15104020,113140,0,262,NULL,SecSetup,2011-02-18 09:55:37.730,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
225,TROX US,Tronox Inc/New,236,236,NULL,236,236,NULL,32,NULL,15101010,22597018,0,263,NULL,SecSetup,2011-02-18 09:55:38.190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
226,NE US,Noble Corp,236,76,NULL,76,76,NULL,32,NULL,10101010,105641,0,NULL,,\tom,2011-06-20 13:06:06.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,6821Z US,Bain Capital LLC,236,236,NULL,236,236,NULL,32,NULL,NULL,319195,0,NULL,,\tom,2011-06-20 11:47:44.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228,HANS US,Hansen Natural Corp,236,236,NULL,236,236,NULL,32,NULL,30201030,107538,0,268,NULL,SecSetup,2011-11-10 14:52:47.840,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
229,NKO CN,Niko Resources Ltd,15,15,NULL,15,15,NULL,5,NULL,10102020,110017,0,NULL,NULL,SecurityResove,2011-03-01 09:35:12.080,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
230,NXPI US,NXP Semiconductor NV,236,56,NULL,56,56,NULL,32,NULL,45301020,11109358,0,NULL,,\tom,2011-06-20 14:53:27.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,MMI US,Motorola Mobility Holdings Inc,236,236,NULL,236,236,NULL,32,NULL,45201020,14354900,0,271,NULL,SecSetup,2011-03-04 09:59:27.093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
232,NVDA US,NVIDIA Corp,236,236,NULL,236,236,NULL,32,NULL,45301020,313657,0,272,NULL,SecSetup,2011-03-04 09:59:59.773,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
233,SBUX US,Starbucks Corp,236,236,NULL,236,236,NULL,32,NULL,25301040,106691,0,274,NULL,SecSetup,2011-03-10 09:30:09.667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234,BBVA SM,Banco Bilbao Vizcaya Argentari,73,73,NULL,73,73,NULL,11,NULL,40101010,100155,0,275,NULL,SecSetup,2011-03-10 12:18:24.927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,KBC BB,KBC Groep NV,8,8,NULL,8,8,NULL,11,NULL,40101010,115719,0,276,NULL,SecSetup,2011-03-10 12:18:25.697,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
236,PPG US,PPG Industries Inc,236,236,NULL,236,236,NULL,32,NULL,15101020,101204,0,277,NULL,SecSetup,2011-03-10 12:18:26.873,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,HCA US,Hercules Holding II LLC,236,236,NULL,236,236,NULL,32,NULL,NULL,14656723,0,278,NULL,SecSetup,2011-03-10 14:08:06.793,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
238,BBV.MC,BBV.MC,199,199,NULL,199,NULL,NULL,11,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-11 09:34:40.100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239,CPI LN,Capita Group PLC/The,84,84,NULL,84,84,NULL,14,NULL,20202010,111335,0,281,NULL,SecSetup,2011-03-11 10:25:44.093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,ERICB SS,Telefonaktiebolaget LM Ericsso,75,75,NULL,75,75,NULL,27,NULL,45201020,115705,0,282,NULL,SecSetup,2011-03-11 10:25:45.547,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,RIM CN,Research In Motion Ltd,15,15,NULL,15,15,NULL,5,NULL,45201020,302821,0,284,NULL,SecSetup,2011-12-13 14:04:51.263,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,CAPTAG,CAPTAG,84,84,NULL,84,NULL,NULL,14,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-14 09:58:26.563,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
243,AAPL US,Apple Inc,236,236,NULL,236,236,NULL,32,NULL,45202010,101695,0,287,NULL,SecSetup,2011-03-15 10:56:11.680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
244,LDK US,LDK Solar Co Ltd,236,17,NULL,17,17,NULL,32,NULL,45301020,11948431,0,288,NULL,SecSetup,2011-03-16 14:21:27.180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
245,BBY US,Best Buy Co Inc,236,236,NULL,236,236,NULL,32,NULL,25504020,100197,0,289,NULL,SecSetup,2011-03-16 14:41:37.137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
246,SPLS US,Staples Inc,236,236,NULL,236,236,NULL,32,NULL,25504040,106973,0,290,NULL,SecSetup,2011-03-16 14:41:38.610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
247,ZMH US,Zimmer Holdings Inc,236,236,NULL,236,236,NULL,32,NULL,35101010,1748630,0,291,NULL,SecSetup,2011-03-17 10:10:31.770,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
248,MHS US,Medco Health Solutions Inc,236,236,NULL,236,236,NULL,32,NULL,35102015,7717385,0,292,NULL,SecSetup,2011-03-17 10:20:36.293,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
249,ECL US,Ecolab Inc,236,236,NULL,236,236,NULL,32,NULL,15101050,100499,0,293,NULL,SecSetup,2011-03-17 13:52:18.537,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
250,PPO US,Polypore International Inc,236,236,NULL,236,236,NULL,32,NULL,20104010,8966554,0,294,NULL,SecSetup,2011-03-18 09:30:08.830,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
