BrokerId,BrokerGroupId,BrokerTypeId,BrokerCounterpartyTypeId,BrokerCode,BrokerDesc,IsSwap,IsProgram,IsTechShort,IsTechLong,ActiveYN,CrossTradeCommApplyYN,InternalCreditCommApplyYN,EzeBrokerCode
143,2,2,NULL,PCS,PCS,0,0,0,0,1,0,1,NULL
144,2,2,NULL,TEST,TEST,0,0,0,0,1,0,1,NULL
145,2,2,NULL,EVRC,EVRC,0,0,0,0,1,0,1,NULL
146,2,2,NULL,DBABA,DBABA,0,0,0,0,1,0,1,NULL
147,2,2,NULL,****,Temporary Broker for Missing Custodian,0,0,0,0,1,0,1,****
148,2,2,NULL,KATZ,KATZ,0,0,0,0,1,0,1,NULL
149,2,2,NULL,DBABI,DBABI,0,0,0,0,1,0,1,NULL
150,2,2,NULL,BARCA,BARCA,0,0,0,0,1,0,1,NULL
151,2,2,NULL,DAVY,DAVY,0,0,0,0,1,0,1,NULL
152,2,2,NULL,BARCE,BARCE,0,0,0,0,1,0,1,NULL
153,2,2,NULL,CSFBE,CSFBE,0,0,0,0,1,0,1,NULL
154,2,2,NULL,MLCOB,MLCOB,0,0,0,0,1,0,1,NULL
155,2,2,NULL,JPMEA,JPMEA,0,0,0,0,1,0,1,NULL
156,2,2,NULL,UBSE,UBSE,0,0,0,0,1,0,1,NULL
157,2,2,NULL,TDTOS,TDTOS,0,0,0,0,1,0,1,NULL
158,2,2,NULL,FIBH,FIBH,0,0,0,0,1,0,1,NULL
159,1,1,NULL,TDTOS,TDTOS,0,0,0,0,1,0,1,NULL
160,1,1,NULL,FIBH,FIBH,0,0,0,0,1,0,1,NULL
