ScheduleId,ApplicationId,PersonId,WorkDate,StartTime,EndTime,TotalHoursWorked,NextWorkDate,NextWorkTime,ScheduleStateId,CreatedDate,ModifiedDate,CreatedByAuditId,ModifiedByAuditId,PlannedHours
1036,200,103,3/17/2016,3/17/2016 8:30,3/17/2016 18:30,9,3/18/2016,3/31/2016 8:30,35300,3/31/2016 14:26,3/31/2016 14:26,200,200,8
1037,200,103,3/15/2016,3/15/2016 11:00,3/15/2016 17:30,5,3/17/2016,3/31/2016 8:30,35300,3/31/2016 14:24,3/31/2016 14:24,200,200,8
1038,200,103,3/14/2016,3/14/2016 8:30,3/14/2016 18:30,8,3/15/2016,3/31/2016 9:00,35300,3/31/2016 14:22,3/31/2016 14:22,200,200,8
1039,200,103,3/13/2016,3/13/2016 8:30,3/13/2016 18:30,8,3/14/2016,3/31/2016 8:30,35300,3/31/2016 14:20,3/31/2016 14:20,200,200,8
1040,200,103,3/12/2016,3/12/2016 9:00,3/12/2016,8,3/13/2016,3/31/2016 9:00,35300,3/31/2016 14:17,3/31/2016 14:17,200,200,8
1041,200,103,3/11/2016,3/11/2016 9:00,3/11/2016,9,3/12/2016,3/31/2016 9:00,35300,3/31/2016 14:15,3/31/2016 14:15,200,200,8
1042,200,103,3/11/2016,3/11/2016 9:00,3/11/2016,9,3/12/2016,3/31/2016 9:00,35300,3/31/2016 14:15,3/31/2016 14:15,200,200,8
1043,200,103,3/10/2016,3/10/2016 9:00,3/10/2016,8,3/11/2016,3/31/2016 8:00,35300,3/31/2016 14:12,3/31/2016 14:12,200,200,8
1044,200,103,3/10/2016,3/10/2016 9:00,3/10/2016,8,3/11/2016,3/31/2016 8:00,35300,3/31/2016 14:12,3/31/2016 14:12,200,200,8
1045,200,103,3/4/2016,3/4/2016 9:00,3/4/2016 23:00,9,3/5/2016,3/31/2016 8:30,35300,3/31/2016 0:20,3/31/2016 0:20,200,200,8
1046,200,103,3/7/2016,3/7/2016 9:00,3/7/2016 3:00,8,3/10/2016,3/31/2016 8:30,35300,3/31/2016 0:18,3/31/2016 0:18,200,200,8
1047,200,103,3/6/2016,3/6/2016 8:00,3/6/2016 12:00,4,3/7/2016,3/31/2016 8:30,35300,3/31/2016 0:12,3/31/2016 0:12,200,200,8
1048,200,103,3/5/2016,3/5/2016 9:00,3/5/2016 23:00,8,3/6/2016,3/31/2016 8:30,35300,3/30/2016 23:41,3/30/2016 23:41,200,200,8
1049,200,102,6/25/2016,1/1/1900 7:18,1/1/1900 5:00,9,6/26/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1050,200,102,6/24/2016,1/1/1900 11:00,1/1/1900 1:00,2,6/25/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1051,200,102,6/23/2016,1/1/1900 10:00,1/1/1900 5:18,5,6/24/2016,1/3/1900 11:00,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1052,200,102,6/22/2016,1/1/1900 7:18,1/1/1900 8:00,8,6/23/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1053,200,102,6/21/2016,1/1/1900 2:00,1/1/1900 3:18,1.5,6/22/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1054,200,102,6/20/2016,1/1/1900 7:18,1/1/1900 6:18,7.5,6/21/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1055,200,102,6/19/2016,1/1/1900 7:18,1/1/1900 7:00,9.5,6/20/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1056,200,102,6/18/2016,1/1/1900 7:18,1/1/1900 8:00,9,6/19/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1057,200,102,6/15/2016,1/1/1900 7:18,1/1/1900 5:18,9,6/18/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
